fiscal_year,detrended_fitted_pe_1946,detrended_fitted_pe_1972,n_10x
1946.03,1.60909716,,NA
1947.03,-1.976874695,,NA
1948.03,-3.288658196,,NA
1949.03,-3.460201696,,NA
1950.03,-2.592397277,,NA
1951.03,-1.829650519,,NA
1952.03,-1.497587149,,NA
1953.03,-1.139655368,,NA
1954.03,-1.43852476,,NA
1955.03,1.995788305,,NA
1956.03,5.538535587,,NA
1957.03,3.154442146,,NA
1958.03,1.483911716,,NA
1959.03,5.505458377,,NA
1960.03,4.283052213,,NA
1961.03,6.260500197,,NA
1962.03,7.292923092,,NA
1963.03,5.10771384,,NA
1964.03,7.901950182,,NA
1965.03,9.132895929,,NA
1966.03,8.431160781,,NA
1967.03,7.309463444,,NA
1968.03,5.798376575,,NA
1969.03,6.370201808,,NA
1970.03,2.511205292,,NA
1971.03,3.211739563,,NA
1972.03,3.451165116,10.88703782,NA
1973.03,2.835347192,9.993292876,NA
1974.03,-1.610683528,4.866773282,NA
1975.03,-5.157017625,0.762446461,NA
1976.03,-4.113194857,1.72569012,NA
1977.03,-5.33015344,0.204036462,NA
1978.03,-7.617935026,-2.479420427,NA
1979.03,-7.792816765,-2.848811941,NA
1980.03,-8.962057268,-4.296932396,NA
1981.03,-8.128206058,-3.572435147,NA
1982.03,-10.49009434,-6.299291835,NA
1983.03,-8.625988284,-4.471216759,NA
1984.03,-9.11018582,-5.171995578,NA
1985.03,-8.638331094,-4.850309356,NA
1986.03,-6.565890797,-2.830290689,NA
1987.03,-4.450942899,-0.780713806,NA
1988.03,-6.667120624,-3.325242388,NA
1989.03,-6.527634882,-3.373822954,NA
1990.03,-5.777739882,-2.783522487,NA
1991.03,-5.610840862,-2.809905769,NA
1992.03,-5.273977365,-2.661305875,NA
1993.03,-4.754408589,-2.326172138,NA
1994.03,-5.179922411,-2.975638696,NA
1995.03,-5.187638963,-3.191702241,NA
1996.03,-1.639796298,0.253835996,NA
1997.03,1.298274515,3.048479032,NA
1998.03,7.972275958,9.646349742,NA
1999.03,11.99453172,13.49368565,NA
2000.03,13.87444766,15.13488354,NA
2001.03,6.067124116,6.943076248,NA
2002.03,4.213027237,4.816441753,124
2003.03,-3.783912727,-3.485969152,142
2004.03,1.04641043,1.139827967,106
2005.03,1.080663543,0.933924471,72
2006.03,1.502473234,1.113271507,68
2007.03,2.190299505,1.55330081,56
2008.03,-0.933811478,-1.789932635,72
2009.03,-10.65827101,-11.63442314,320
2010.03,-5.184090298,-6.452564182,223
2011.03,-3.923674736,-5.442399129,138
2012.03,-3.795706365,-5.549240535,176
2013.03,-2.440519349,-4.461236639,157
2014.03,0.796278714,-1.55384482,100
2015.03,2.957030627,0.289605326,77
2016.03,1.250436801,-1.616517655,78
2017.03,4.159786336,0.930631267,68
2018.03,6.661026539,3.067096978,54
2019.03,6.407639937,2.552339367,29
2020.03,3.467306288,-0.523577984,32
2021.03,15.03215163,10.20240968,23
