Month End,Year,Month,Best_Est
1871-01-31,1871,1,5.32
1871-02-28,1871,2,5.323333333
1871-03-31,1871,3,5.326666667
1871-04-30,1871,4,5.33
1871-05-31,1871,5,5.333333333
1871-06-30,1871,6,5.336666667
1871-07-31,1871,7,5.34
1871-08-31,1871,8,5.343333333
1871-09-30,1871,9,5.346666667
1871-10-31,1871,10,5.35
1871-11-30,1871,11,5.353333333
1871-12-31,1871,12,5.356666667
1872-01-31,1872,1,5.36
1872-02-29,1872,2,5.378333333
1872-03-31,1872,3,5.396666667
1872-04-30,1872,4,5.415
1872-05-31,1872,5,5.433333333
1872-06-30,1872,6,5.451666667
1872-07-31,1872,7,5.47
1872-08-31,1872,8,5.488333333
1872-09-30,1872,9,5.506666667
1872-10-31,1872,10,5.525
1872-11-30,1872,11,5.543333333
1872-12-31,1872,12,5.561666667
1873-01-31,1873,1,5.58
1873-02-28,1873,2,5.570833333
1873-03-31,1873,3,5.561666667
1873-04-30,1873,4,5.5525
1873-05-31,1873,5,5.543333333
1873-06-30,1873,6,5.534166667
1873-07-31,1873,7,5.525
1873-08-31,1873,8,5.515833333
1873-09-30,1873,9,5.506666667
1873-10-31,1873,10,5.4975
1873-11-30,1873,11,5.488333333
1873-12-31,1873,12,5.479166667
1874-01-31,1874,1,5.47
1874-02-28,1874,2,5.436666667
1874-03-31,1874,3,5.403333333
1874-04-30,1874,4,5.37
1874-05-31,1874,5,5.336666667
1874-06-30,1874,6,5.303333333
1874-07-31,1874,7,5.27
1874-08-31,1874,8,5.236666667
1874-09-30,1874,9,5.203333333
1874-10-31,1874,10,5.17
1874-11-30,1874,11,5.136666667
1874-12-31,1874,12,5.103333333
1875-01-31,1875,1,5.07
1875-02-28,1875,2,5.03
1875-03-31,1875,3,4.99
1875-04-30,1875,4,4.95
1875-05-31,1875,5,4.91
1875-06-30,1875,6,4.87
1875-07-31,1875,7,4.83
1875-08-31,1875,8,4.79
1875-09-30,1875,9,4.75
1875-10-31,1875,10,4.71
1875-11-30,1875,11,4.67
1875-12-31,1875,12,4.63
1876-01-31,1876,1,4.59
1876-02-29,1876,2,4.578333333
1876-03-31,1876,3,4.566666667
1876-04-30,1876,4,4.555
1876-05-31,1876,5,4.543333333
1876-06-30,1876,6,4.531666667
1876-07-31,1876,7,4.52
1876-08-31,1876,8,4.508333333
1876-09-30,1876,9,4.496666667
1876-10-31,1876,10,4.485
1876-11-30,1876,11,4.473333333
1876-12-31,1876,12,4.461666667
1877-01-31,1877,1,4.45
1877-02-28,1877,2,4.440833333
1877-03-31,1877,3,4.431666667
1877-04-30,1877,4,4.4225
1877-05-31,1877,5,4.413333333
1877-06-30,1877,6,4.404166667
1877-07-31,1877,7,4.395
1877-08-31,1877,8,4.385833333
1877-09-30,1877,9,4.376666667
1877-10-31,1877,10,4.3675
1877-11-30,1877,11,4.358333333
1877-12-31,1877,12,4.349166667
1878-01-31,1878,1,4.34
1878-02-28,1878,2,4.33
1878-03-31,1878,3,4.32
1878-04-30,1878,4,4.31
1878-05-31,1878,5,4.3
1878-06-30,1878,6,4.29
1878-07-31,1878,7,4.28
1878-08-31,1878,8,4.27
1878-09-30,1878,9,4.26
1878-10-31,1878,10,4.25
1878-11-30,1878,11,4.24
1878-12-31,1878,12,4.23
1879-01-31,1879,1,4.22
1879-02-28,1879,2,4.203333333
1879-03-31,1879,3,4.186666667
1879-04-30,1879,4,4.17
1879-05-31,1879,5,4.153333333
1879-06-30,1879,6,4.136666667
1879-07-31,1879,7,4.12
1879-08-31,1879,8,4.103333333
1879-09-30,1879,9,4.086666667
1879-10-31,1879,10,4.07
1879-11-30,1879,11,4.053333333
1879-12-31,1879,12,4.036666667
1880-01-31,1880,1,4.02
1880-02-29,1880,2,3.993333333
1880-03-31,1880,3,3.966666667
1880-04-30,1880,4,3.94
1880-05-31,1880,5,3.913333333
1880-06-30,1880,6,3.886666667
1880-07-31,1880,7,3.86
1880-08-31,1880,8,3.833333333
1880-09-30,1880,9,3.806666667
1880-10-31,1880,10,3.78
1880-11-30,1880,11,3.753333333
1880-12-31,1880,12,3.726666667
1881-01-31,1881,1,3.7
1881-02-28,1881,2,3.693333333
1881-03-31,1881,3,3.686666667
1881-04-30,1881,4,3.68
1881-05-31,1881,5,3.673333333
1881-06-30,1881,6,3.666666667
1881-07-31,1881,7,3.66
1881-08-31,1881,8,3.653333333
1881-09-30,1881,9,3.646666667
1881-10-31,1881,10,3.64
1881-11-30,1881,11,3.633333333
1881-12-31,1881,12,3.626666667
1882-01-31,1882,1,3.62
1882-02-28,1882,2,3.620833333
1882-03-31,1882,3,3.621666667
1882-04-30,1882,4,3.6225
1882-05-31,1882,5,3.623333333
1882-06-30,1882,6,3.624166667
1882-07-31,1882,7,3.625
1882-08-31,1882,8,3.625833333
1882-09-30,1882,9,3.626666667
1882-10-31,1882,10,3.6275
1882-11-30,1882,11,3.628333333
1882-12-31,1882,12,3.629166667
1883-01-31,1883,1,3.63
1883-02-28,1883,2,3.629166667
1883-03-31,1883,3,3.628333333
1883-04-30,1883,4,3.6275
1883-05-31,1883,5,3.626666667
1883-06-30,1883,6,3.625833333
1883-07-31,1883,7,3.625
1883-08-31,1883,8,3.624166667
1883-09-30,1883,9,3.623333333
1883-10-31,1883,10,3.6225
1883-11-30,1883,11,3.621666667
1883-12-31,1883,12,3.620833333
1884-01-31,1884,1,3.62
1884-02-29,1884,2,3.611666667
1884-03-31,1884,3,3.603333333
1884-04-30,1884,4,3.595
1884-05-31,1884,5,3.586666667
1884-06-30,1884,6,3.578333333
1884-07-31,1884,7,3.57
1884-08-31,1884,8,3.561666667
1884-09-30,1884,9,3.553333333
1884-10-31,1884,10,3.545
1884-11-30,1884,11,3.536666667
1884-12-31,1884,12,3.528333333
1885-01-31,1885,1,3.52
1885-02-28,1885,2,3.5075
1885-03-31,1885,3,3.495
1885-04-30,1885,4,3.4825
1885-05-31,1885,5,3.47
1885-06-30,1885,6,3.4575
1885-07-31,1885,7,3.445
1885-08-31,1885,8,3.4325
1885-09-30,1885,9,3.42
1885-10-31,1885,10,3.4075
1885-11-30,1885,11,3.395
1885-12-31,1885,12,3.3825
1886-01-31,1886,1,3.37
1886-02-28,1886,2,3.3825
1886-03-31,1886,3,3.395
1886-04-30,1886,4,3.4075
1886-05-31,1886,5,3.42
1886-06-30,1886,6,3.4325
1886-07-31,1886,7,3.445
1886-08-31,1886,8,3.4575
1886-09-30,1886,9,3.47
1886-10-31,1886,10,3.4825
1886-11-30,1886,11,3.495
1886-12-31,1886,12,3.5075
1887-01-31,1887,1,3.52
1887-02-28,1887,2,3.5325
1887-03-31,1887,3,3.545
1887-04-30,1887,4,3.5575
1887-05-31,1887,5,3.57
1887-06-30,1887,6,3.5825
1887-07-31,1887,7,3.595
1887-08-31,1887,8,3.6075
1887-09-30,1887,9,3.62
1887-10-31,1887,10,3.6325
1887-11-30,1887,11,3.645
1887-12-31,1887,12,3.6575
1888-01-31,1888,1,3.67
1888-02-29,1888,2,3.651666667
1888-03-31,1888,3,3.633333333
1888-04-30,1888,4,3.615
1888-05-31,1888,5,3.596666667
1888-06-30,1888,6,3.578333333
